datetime,lat,lon,depth,magnitude,min_magnitude,max_magnitude,mean_magnitude,median_magnitude,variance_magnitude,kurtosis_magnitude,min_depth,max_depth,mean_depth,median_depth,variance_depth,kurtosis_depth,min_lat,max_lat,mean_lat,median_lat,variance_lat,kurtosis_lat,min_lon,max_lon,mean_lon,median_lon,variance_lon,kurtosis_lon,min_datetime,max_datetime,mean_datetime,median_datetime,variance_datetime,kurtosis_datetime,location_labels
1926-01-13 08:08:44.100,38.53,28.19,10.0,5.8,4.3,6.7,5.253333333333334,5.3,0.3004888888888889,-0.10668029777699006,5.0,80.0,22.6,15.5,253.37333333333333,4.116746952345453,38.0,39.6,38.555,38.4,0.3200716666666664,-1.0010828285409266,26.0,29.8,27.629999999999995,27.2,1.2253200000000002,-0.5026875339929187,-2062900380.0,-1387491175.6,-1653331714.6766665,-1565455764.85,6.264098168185461e+16,-1.4196681179771748,6
1928-03-31 00:29:48.900,38.18,27.8,10.0,6.3,4.3,6.7,5.246666666666668,5.3,0.29182222222222226,-0.0031356671855311546,5.0,80.0,21.933333333333334,15.0,256.3955555555555,4.301701619122821,38.0,39.6,38.57266666666667,38.4,0.30951288888888867,-0.9858326174711944,26.0,29.8,27.669666666666664,27.2,1.2209698888888894,-0.5944051547521232,-2058330000.0,-1387468275.9,-1630817311.2066665,-1538935610.0,5.889864586702525e+16,-1.2693709420326382,6
1928-03-31 01:15:01.000,38.1,27.4,15.0,5.0,4.3,6.7,5.2633333333333345,5.3,0.31832222222222223,-0.1591021474118306,5.0,80.0,21.6,15.0,260.9066666666667,4.232191882896229,38.0,39.6,38.56533333333334,38.4,0.31360488888888866,-0.9956945862267284,26.0,29.8,27.689666666666664,27.45,1.2137832222222227,-0.6164102126931699,-2057356800.0,-1317684611.1,-1606129131.5766666,-1497141000.0,5.54653059468083e+16,-1.0878690657806278,6
1928-03-31 05:12:24.000,38.1,27.4,30.0,5.4,4.3,6.7,5.2700000000000005,5.3,0.31343333333333334,-0.10292155158665084,5.0,80.0,21.1,15.0,259.75666666666666,4.562216228197968,38.0,39.6,38.568666666666665,38.4,0.3101582222222219,-0.986760075372799,26.0,29.8,27.702999999999996,27.549999999999997,1.2005476666666672,-0.6004911623876543,-2050295280.0,-1317681899.0,-1581473301.5433333,-1463504556.0,5.084390923318835e+16,-0.9068896494810934,6
1928-04-02 00:00:01.000,38.1,27.4,15.0,4.4,4.3,6.7,5.273333333333334,5.3,0.3139555555555556,-0.12136100900487401,5.0,80.0,21.6,15.0,260.9066666666667,4.232191882896229,38.0,39.6,38.51866666666667,38.370000000000005,0.2795248888888885,-0.727200691860181,26.0,29.8,27.686333333333334,27.4,1.2020365555555559,-0.566324332302667,-1947801600.0,-1317667656.0,-1557052380.743333,-1455585583.95,4.524084023168553e+16,-0.7589736777447222,6
1928-04-13 00:00:01.000,38.0,28.0,15.0,4.4,4.3,6.7,5.236666666666668,5.3,0.3363222222222222,-0.2427839608682194,5.0,80.0,21.8,15.0,257.0266666666667,4.333446313307349,38.0,39.6,38.515333333333324,38.370000000000005,0.28197155555555514,-0.7376023264728864,26.0,29.8,27.676333333333332,27.4,1.2046632222222227,-0.5516021677427907,-1941529435.8,-1317513599.0,-1536042780.7099998,-1446272827.95,4.162256612510442e+16,-0.4015326198955971,6
1928-05-02 21:54:32.200,39.64,29.14,10.0,6.0,4.3,6.7,5.203333333333335,5.25,0.3576555555555555,-0.35416908734908237,5.0,80.0,21.4,15.0,257.50666666666666,4.521512461840697,38.0,39.6,38.50199999999999,38.27,0.2902026666666663,-0.7578589431861511,26.0,29.8,27.702999999999996,27.4,1.1998810000000004,-0.5987705453156509,-1941527700.0,-1316563199.0,-1515210572.8166666,-1431788709.0,3.731364721711069e+16,0.050982358139187944,6
1928-07-15 09:33:32.800,38.05,27.32,10.0,5.6,4.3,6.7,5.2266666666666675,5.25,0.37795555555555554,-0.6010963575106936,5.0,80.0,20.9,15.0,261.15666666666664,4.5905851647098626,38.0,39.64,38.54333333333333,38.27,0.33131555555555514,-1.008805888978612,26.0,29.8,27.76766666666666,27.549999999999997,1.2560978888888894,-0.8547665808815945,-1941522780.0,-1314842727.8,-1494321073.743333,-1415336599.0,3.215730872513498e+16,0.5937946612073004,6
1929-05-08 12:27:30.000,38.0,29.5,15.0,4.7,4.3,6.7,5.236666666666667,5.25,0.3823222222222222,-0.6733776500941997,5.0,80.0,19.966666666666665,15.0,254.49888888888887,5.5060325716718275,38.0,39.64,38.531666666666666,38.19,0.3386072222222219,-1.0196977842439363,26.0,29.8,27.771666666666665,27.549999999999997,1.252020555555556,-0.8492167053651767,-1923418980.0,-1308493587.2,-1473220100.65,-1406359029.5,2.619680728218736e+16,1.1236877267274012,6
1929-08-19 23:17:05.100,38.0,29.5,15.0,4.4,4.3,6.7,5.193333333333333,5.1,0.3706222222222222,-0.48593256142124996,5.0,80.0,18.466666666666665,15.0,199.64888888888888,9.90938681470094,38.0,39.64,38.53166666666667,38.19,0.3386072222222219,-1.0196977842439703,26.0,29.8,27.871666666666663,27.7,1.2876872222222226,-1.0169620594700326,-1898927755.8,-1282822350.0,-1451866879.65,-1402909589.0,2.0193256317931976e+16,1.3257669289923566,6
1930-01-23 03:24:01.000,38.5,26.0,5.0,4.3,4.3,6.7,5.156666666666666,4.95,0.38712222222222215,-0.5043594744808946,5.0,80.0,18.3,15.0,199.94333333333336,10.016646730699913,38.0,39.64,38.531666666666666,38.19,0.3386072222222219,-1.0196977842439352,26.0,29.8,27.955,27.75,1.3437983333333339,-1.159329300931925,-1694073839.0,-1273884174.9,-1431032093.62,-1402147019.5,1.4152981882553428e+16,-0.2710777267909825,6
1930-09-07 10:56:23.000,38.6,26.2,8.0,4.7,4.3,6.7,5.156666666666666,4.95,0.38712222222222215,-0.5043594744808946,5.0,80.0,18.133333333333333,15.0,203.51555555555555,9.725823876075836,38.0,39.64,38.50833333333333,38.19,0.3232072222222218,-0.758851933810071,26.0,29.8,27.921666666666667,27.75,1.4396872222222228,-1.160527170202236,-1684294680.0,-1260390959.0,-1416575997.62,-1401300371.5,1.260825107138702e+16,-0.05386025259344818,6
1931-04-26 06:24:55.000,38.5,26.2,10.0,4.8,4.3,6.7,5.15,4.95,0.39183333333333326,-0.5329167511729729,5.0,80.0,18.066666666666666,15.0,204.72888888888892,9.636320368290773,38.0,39.64,38.521666666666654,38.260000000000005,0.3201405555555552,-0.7981767266933883,26.0,29.8,27.92166666666667,27.75,1.4396872222222228,-1.1605271702022382,-1653596330.0,-1240751017.0,-1401791208.8533335,-1400695209.5,1.1031032123003402e+16,0.0036019918607101964,6
1931-07-12 22:24:19.600,39.15,26.34,10.0,5.4,4.3,6.7,5.153333333333334,4.95,0.3891555555555555,-0.5163387016898535,5.0,80.0,17.9,15.0,206.55666666666667,9.555279439064865,38.0,39.64,38.504999999999995,38.260000000000005,0.3122516666666663,-0.6004198384797301,26.0,29.8,27.895,27.75,1.5094650000000005,-1.1988334380508558,-1639673191.5,-1220808905.0,-1387364961.3533335,-1399523248.0,9801208015151240.0,-0.009265824083715124,6
